SNP	Chr	SNP.GRCh37	SNP.GRCh38.p12	type
rs115183538	4	74805105	73939388	proxy
rs76246956	4	74783906	73918189	proxy
rs10414043	19	45415713	44912456	proxy
rs769449	19	45410002	44906745	proxy
rs7256200	19	45415935	44912678	proxy
rs10056811	5	74605220	75309395	proxy
rs79856035	5	74617945	75322120	proxy
rs11991231	8	19907912	20050401	proxy
rs78013771	8	19847223	19989712	proxy
rs12682115	8	19847060	19989549	proxy
rs117199990	8	19820916	19963405	proxy
rs17410914	8	19843462	19985951	proxy
rs6993414	8	19902918	20045407	proxy
rs79236614	8	19860460	20002949	proxy
rs328	8	19819724	19962213	proxy
rs76496571	8	19847441	19989930	proxy
rs76259755	8	19899161	20041650	proxy
rs112994260	8	19878704	20021193	proxy
rs78458743	8	19846314	19988803	proxy
rs7007797	8	19876970	20019459	proxy
rs141287949	8	19874932	20017422	proxy
rs17410983	8	19848693	19991182	proxy
rs74855321	8	19836984	19979473	proxy
rs9644639	8	19884947	20027436	proxy
rs115129770	8	19844439	19986928	proxy
rs114566157	8	19846489	19988978	proxy
rs17489226	8	19848878	19991367	proxy
rs138022915	8	19885934	20028423	proxy
rs113988682	8	19842768	19985257	proxy
rs1011685	8	19830769	19973258	proxy
rs115849089	8	19912370	20054859	proxy
rs75675187	8	19880726	20023215	proxy
rs76975037	8	19851508	19993997	proxy
rs17482753	8	19832646	19975135	proxy
rs139315015	8	19893297	20035786	proxy
rs12678919	8	19844222	19986711	proxy
rs58946909	8	19840341	19982830	proxy
rs17489185	8	19848499	19990988	proxy
rs145391587	8	19820933	19963422	proxy
rs78300069	8	19876524	20019013	proxy
rs7816447	8	19882950	20025439	proxy
rs77219697	8	19877461	20019950	proxy
rs78404258	8	19881058	20023547	proxy
rs78810414	8	19871113	20013602	proxy
rs7004149	8	19877208	20019697	proxy
rs114964604	8	19849989	19992478	proxy
rs142117848	8	19878870	20021359	proxy
rs6999813	8	19863471	20005960	proxy
rs75082673	8	19879809	20022298	proxy
rs75469215	8	19887162	20029651	proxy
rs74615535	8	19881236	20023725	proxy
rs75801420	8	19849670	19992159	proxy
rs6586884	8	19863358	20005847	proxy
rs12678604	8	19877773	20020262	proxy
rs74511360	8	19881040	20023529	proxy
rs60223219	8	19881801	20024290	proxy
rs11995475	8	19886688	20029177	proxy
rs12678603	8	19877732	20020221	proxy
rs28675909	8	19876234	20018723	proxy
rs78963197	8	19836646	19979135	proxy
rs149670831	8	19844447	19986937	proxy
rs17411113	8	19855006	19997495	proxy
rs77237194	8	19865455	20007944	proxy
rs114650503	8	19884257	20026746	proxy
rs17410996	8	19849272	19991761	proxy
rs75551077	8	19840408	19982897	proxy
rs76737188	8	19876594	20019083	proxy
rs7004158	8	19877233	20019722	proxy
rs7007609	8	19876797	20019286	proxy
rs10503669	8	19847690	19990179	proxy
rs12679834	8	19820433	19962922	proxy
rs6983430	8	19877253	20019742	proxy
rs79198716	8	19876264	20018753	proxy
rs11989309	8	19880330	20022819	proxy
rs114366307	8	19885726	20028215	proxy
rs7016880	8	19876746	20019235	proxy
rs325	8	19819328	19961817	proxy
rs74983646	8	19903250	20045739	proxy
rs6456641	6	24983722	24983494	proxy
rs12192232	6	24990005	24989777	proxy
rs1410687	6	24986163	24985935	proxy
rs7740315	6	24989223	24988995	proxy
rs1410686	6	24980611	24980383	proxy
rs7768143	6	24987214	24986986	proxy
rs6456640	6	24981582	24981354	proxy
rs2149452	6	24984222	24983994	proxy
rs9393600	6	24976191	24975963	proxy
rs9295641	6	24993306	24993078	proxy
rs2894032	6	24985476	24985248	proxy
rs9366591	6	24989999	24989771	proxy
rs4712876	6	24995957	24995729	proxy
rs9295640	6	24990240	24990012	proxy
rs9358815	6	24983490	24983262	proxy
rs4712871	6	24990605	24990377	proxy
rs2209932	6	24985330	24985102	proxy
rs10946739	6	24993127	24992899	proxy
rs6935286	6	24996338	24996110	proxy
rs4712870	6	24988901	24988673	proxy
rs9295639	6	24984938	24984710	proxy
rs12205717	6	24990085	24989857	proxy
rs12194111	6	24991118	24990890	proxy
rs62401116	6	24995630	24995402	proxy
rs9358816	6	24988520	24988292	proxy
rs4712872	6	24990786	24990558	proxy
rs140868651	19	19432290	19321482	proxy
rs72999033	19	19366632	19255823	proxy
rs73001065	19	19460541	19349732	proxy
rs964184	11	116648917	116778201	proxy
rs66505542	11	116623213	116752498	proxy
rs116816976	1	55224773	54759100	proxy
rs113105517	1	55243587	54777914	proxy
rs4609471	1	55493584	55027911	proxy
rs34232196	1	55489542	55023869	proxy
rs201732208	1	55490861	20088273	proxy
rs35606865	11	116668843	116798127	proxy
rs9804646	11	116665079	116794363	proxy
rs11216137	11	116669828	116799112	proxy
rs17120035	11	116663851	116793135	proxy
rs7103224	11	116663966	116793250	proxy
rs12294065	11	116671540	116800824	proxy
rs11600380	11	116670182	116799466	proxy
rs143341434	1	54759547	54293874	proxy
rs144723570	21	45244466	43824585	proxy
rs145300489	21	45218079	43798198	proxy
rs17414716	1	55759138	55293465	proxy
rs4296389	2	21142994	20943234	proxy
rs12117661	1	55487346	55021673	proxy
rs41272659	2	207634958	206770234	proxy
rs415742	11	60821968	61054496	proxy
rs4608457	19	20217169	20106360	proxy
rs7113281	11	61662780	61895308	proxy
rs6591668	11	61661113	61893641	proxy
rs72920193	11	61602572	61835100	proxy
rs11307986	11	62220791	62453320	proxy
rs4382917	11	62221476	62454004	proxy
rs7936002	11	62219029	62451557	proxy
rs185919179	11	60944632	61177160	proxy
rs139872716	11	60958040	61190568	proxy
rs77348582	11	60879247	61111775	proxy
rs7128714	11	61756789	61989317	proxy
rs12575518	11	61748066	61980594	proxy
rs112001844	11	61760119	61992647	proxy
rs7112078	11	61762914	61995442	proxy
rs7115285	11	61759293	61991821	proxy
rs7115826	11	61759714	61992242	proxy
rs58891643	11	61756677	61989205	proxy
rs56922452	11	61755657	61988185	proxy
rs7937027	11	61758489	61991017	proxy
rs57045541	11	61755898	61988426	proxy
rs143074043	11	61754600	61987129	proxy
rs7926007	11	61758135	61990663	proxy
rs7935523	11	61758008	61990536	proxy
rs12417294	11	61771846	62004374	proxy
rs7925778	11	61757986	61990514	proxy
rs60634993	11	61756500	61989028	proxy
rs147299260	11	61765358	61997886	proxy
rs7937233	11	61758642	61991170	proxy
rs7109035	11	61756876	61989404	proxy
rs113455597	11	61749444	61981972	proxy
rs59432293	11	61753126	61985654	proxy
rs2073588	11	61736411	61968939	proxy
rs7112821	11	61762779	61995307	proxy
rs7115654	11	61759739	61992267	proxy
rs73493271	11	61756406	61988934	proxy
rs58251541	11	61756256	61988784	proxy
rs7937242	11	61758653	61991181	proxy
rs58243311	11	61758884	61991413	proxy
rs113017397	11	61738222	61970750	proxy
rs10160516	11	61749778	61982306	proxy
rs12421620	11	66276576	66509105	proxy
rs174527	11	61538401	61770929	proxy
rs17825908	11	60841572	61074100	proxy
rs186832402	11	60953618	61186146	proxy
rs2429461	11	67233387	67465916	proxy
rs11236508	11	75445300	75734255	proxy
rs11236511	11	75448759	75737714	proxy
rs72995678	11	75445180	75734135	proxy
rs11236509	11	75447182	75736137	proxy
rs11236507	11	75444605	75733560	proxy
rs36016715	11	75449644	75738599	proxy
rs10899105	11	75447117	75736072	proxy
rs429358	19	45411941	44908684	proxy
rs12422055	11	67404181	67636710	proxy
rs4620726	11	67403833	67636362	proxy
rs1993839	11	67406829	67639358	proxy
rs11820792	11	67405967	67638496	proxy
rs2509713	11	67408791	67641320	proxy
rs3857387	5	74567845	75272020	proxy
rs2052515	5	74571914	75276089	proxy
rs13356603	5	74569357	75273532	proxy
rs10051260	5	74567359	75271534	proxy
rs10062361	5	74565153	75269328	proxy
rs72633961	5	74564190	75268365	proxy
rs1551894	5	74570531	75274706	proxy
rs1168041	1	62960250	62494579	proxy
rs10462516	5	74567359	75271534	alias rsid
rs57272829	18	41270672	43690707	alias rsid
rs386511185	11	61557803	61790331	alias rsid
rs754897	11	61557803	61790331	alias rsid
rs60986688	11	61557803	61790331	alias rsid
rs615320	11	61557803	61790331	alias rsid
rs61646317	18	62169092	64501857	alias rsid
rs56670065	16	80315263	80281366	alias rsid
rs17736340	16	80315263	80281366	alias rsid
rs4432212	15	58723426	58431227	alias rsid
rs58268712	10	102299407	100539650	alias rsid
rs60423222	11	10502422	10480875	alias rsid
rs74232682	10	102302457	100542700	alias rsid
rs56642756	10	102302457	100542700	alias rsid
rs16966957	16	15131974	15038117	alias rsid
rs58508909	16	15131974	15038117	alias rsid
rs3199049	16	15131974	15038117	alias rsid
rs52834819	16	15131974	15038117	alias rsid
rs117089236	8	19912370	20054859	alias rsid
rs56995607	1	165003462	165034225	alias rsid
rs12789732	11	116651115	116780399	alias rsid
rs386493014	11	116651115	116780399	alias rsid
rs56890899	16	14629455	14535598	alias rsid
rs1781202	1	62960250	62494579	alias rsid
rs17785834	1	62960250	62494579	alias rsid
rs386495886	8	131553945	130541699	alias rsid
rs57637286	11	61492039	61724567	alias rsid
rs59164997	11	66276576	66509105	alias rsid
rs56529436	11	66276576	66509105	alias rsid
rs386524152	11	66276576	66509105	alias rsid
rs58404079	7	88573471	88944157	alias rsid
ss1388028773	12	7085171	6976009	alias rsid
rs57222267	12	7085171	6976009	alias rsid
rs201056104	12	7100973	6992881	alias rsid
ss1388029156	12	7100973	6992881	alias rsid
rs75295758	12	7100973	6992881	alias rsid
rs58859871	12	7100973	6992881	alias rsid
rs58226775	2	27730940	27508073	alias rsid
rs17705011	2	27730940	27508073	alias rsid
rs116860261	11	NA	62233942	alias rsid
rs58670587	11	NA	62233942	alias rsid
rs59642880	16	804760	754760	alias rsid
rs60028965	3	144933520	145215733	alias rsid
rs17822764	3	144933520	145215733	alias rsid
rs4408484	15	NA	58379522	alias rsid
rs58977934	15	NA	58379522	alias rsid
rs60257882	13	50934892	50360756	alias rsid
rs58129676	16	15130351	15036494	alias rsid
rs17841257	16	15130351	15036494	alias rsid
rs571772	11	61538401	61770929	alias rsid
rs687259	11	61543499	61776027	alias rsid
rs56626584	11	61549458	61781986	alias rsid
rs58372916	11	61549458	61781986	alias rsid
rs687847	11	61549458	61781986	alias rsid
rs1151143	11	61551356	61783884	alias rsid
rs58611837	11	61551356	61783884	alias rsid
rs605917	11	61551356	61783884	alias rsid
rs61238994	11	61552680	61785208	alias rsid
rs642460	11	61552680	61785208	alias rsid
rs695866	11	61560081	61792609	alias rsid
rs618366	11	61560081	61792609	alias rsid
rs36203057	11	61560081	61792609	alias rsid
rs59434532	11	61560081	61792609	alias rsid
rs506413	11	61565908	61798436	alias rsid
rs561487	11	61569306	61801834	alias rsid
rs520174	11	61569830	61802358	alias rsid
rs59070584	11	61569830	61802358	alias rsid
rs60936508	11	61570783	61803311	alias rsid
rs567266	11	61570783	61803311	alias rsid
rs57169218	11	61570783	61803311	alias rsid
rs56559973	11	61571348	61803876	alias rsid
rs61589025	11	61571348	61803876	alias rsid
rs17156385	11	61571348	61803876	alias rsid
rs59992296	11	61571348	61803876	alias rsid
rs634597	11	61571348	61803876	alias rsid
rs17156386	11	61571382	61803910	alias rsid
rs576772	11	61571382	61803910	alias rsid
rs58414996	11	61571382	61803910	alias rsid
rs60019847	11	61571382	61803910	alias rsid
rs59385291	11	61571478	61804006	alias rsid
rs539874	11	61571478	61804006	alias rsid
rs17156387	11	61571478	61804006	alias rsid
rs58348422	11	61579760	61812288	alias rsid
rs519958	11	61579760	61812288	alias rsid
rs491411	11	61580635	61813163	alias rsid
rs57462469	11	61580635	61813163	alias rsid
rs577099	11	61604814	61837342	alias rsid
rs57144738	11	61605499	61838027	alias rsid
rs693121	11	61605499	61838027	alias rsid
rs12798058	11	61623140	61855668	alias rsid
rs60343714	11	61623140	61855668	alias rsid
rs3781977	11	61623140	61855668	alias rsid
rs56662227	11	60859791	61092319	alias rsid
rs52833592	15	58723675	58431476	alias rsid
rs61203809	19	8281635	8216751	alias rsid
rs58572923	12	7075882	6966719	alias rsid
rs57075142	12	7075882	6966719	alias rsid
ss1388028509	12	7075882	6966719	alias rsid
rs17606663	6	10995015	10994782	alias rsid
rs57519935	6	10995015	10994782	alias rsid
rs58217655	6	10995015	10994782	alias rsid
rs111168649	6	10995015	10994782	alias rsid
rs59369399	12	58013175	57619392	alias rsid
rs61573151	1	95485825	95020269	alias rsid
rs56422304	1	95485825	95020269	alias rsid
rs17509865	1	95485825	95020269	alias rsid
rs60945176	11	67233387	67465916	alias rsid
rs61643751	15	58726744	58434545	alias rsid
rs446982	15	58726744	58434545	alias rsid
rs61109231	11	61929298	62161826	alias rsid
rs79093594	11	61929298	62161826	alias rsid
rs17437960	11	61929298	62161826	alias rsid
rs112282282	11	61929298	62161826	alias rsid
rs4963287	11	61929298	62161826	alias rsid
rs59860447	19	8298411	8233527	alias rsid
rs61103196	6	10982973	10982740	alias rsid
rs17606589	6	10982973	10982740	alias rsid
rs60435524	11	61282350	61514878	alias rsid
rs56486005	11	116657561	116786845	alias rsid
rs59840427	11	61906864	62139392	alias rsid
rs17672233	1	248039451	247876149	alias rsid
rs12923184	16	15174571	15080714	alias rsid
rs60528676	11	60821968	61054496	alias rsid
rs1232324	11	60821968	61054496	alias rsid
rs11541089	11	61564299	61796827	alias rsid
rs41369146	11	61564299	61796827	alias rsid
rs58966168	11	61564299	61796827	alias rsid
rs17146030	11	61564299	61796827	alias rsid
rs630496	19	45411941	44908684	alias rsid
rs61228756	19	45411941	44908684	alias rsid
rs60527572	19	20217169	20106360	alias rsid
rs59565908	1	55493584	55027911	alias rsid
rs9700765	1	55493584	55027911	alias rsid
rs56997161	16	15845100	15751243	alias rsid
rs7394791	11	61902126	62134654	alias rsid
rs59892026	11	61902126	62134654	alias rsid
rs60476508	16	15129459	15035602	alias rsid
rs17489872	16	15129459	15035602	alias rsid
rs386597603	11	61548559	61781087	alias rsid
rs56848893	11	61548559	61781087	alias rsid
rs56675696	16	938967	888967	alias rsid
rs3890392	16	938967	888967	alias rsid
rs58079664	10	102075479	100315722	alias rsid
rs60566256	20	1069103	1088460	alias rsid
rs58357760	20	1069103	1088460	alias rsid
rs8125748	20	1069103	1088460	alias rsid
rs56469710	20	1069103	1088460	alias rsid
rs59578682	3	158241071	158523282	alias rsid
rs59165781	16	15130594	15036737	alias rsid
rs61680645	11	61661113	61893641	alias rsid
rs57870094	1	95515637	95050081	alias rsid
rs17190717	20	12969400	12988752	alias rsid
rs386605205	20	12969400	12988752	alias rsid
rs58574165	20	12969400	12988752	alias rsid
rs386605752	5	107011559	107675858	alias rsid
rs56629284	5	107011559	107675858	alias rsid
rs57341997	5	107011559	107675858	alias rsid
rs58567555	16	12564907	12471050	alias rsid
rs59249334	16	12564907	12471050	alias rsid
rs9319231	13	26242505	25668367	alias rsid
rs58590231	13	26242505	25668367	alias rsid
rs3200542	19	45412079	44908822	alias rsid
rs11211462	1	47414851	46949179	alias rsid
rs57999973	1	47414851	46949179	alias rsid
rs58347012	11	61724292	61956820	alias rsid
rs60545306	6	NA	10964788	alias rsid
rs9461382	6	NA	10964788	alias rsid
rs61268282	2	27742603	27519736	alias rsid
rs8179238	2	27742603	27519736	alias rsid
rs386613274	2	27742603	27519736	alias rsid
rs386613275	2	27741237	27518370	alias rsid
rs17705107	2	27741237	27518370	alias rsid
rs59441336	2	27741237	27518370	alias rsid
rs386613952	10	99559721	97799964	alias rsid
rs60834177	11	61442492	61675020	alias rsid
rs59164358	11	62219029	62451557	alias rsid
rs17248807	16	61624701	61590797	alias rsid
rs61060567	16	61624701	61590797	alias rsid
rs60584846	19	19388500	19277691	alias rsid
rs861042	16	56993886	56959974	alias rsid
rs3173490	6	10981053	10980820	alias rsid
rs59891428	6	10981053	10980820	alias rsid
rs10362265	7	136925471	137240724	alias rsid
rs1162123	7	136925471	137240724	alias rsid
rs1653007	7	136925471	137240724	alias rsid
rs386617865	7	136925471	137240724	alias rsid
rs61468651	11	61475233	61707761	alias rsid
rs386621859	1	47396162	46930490	alias rsid
rs60540424	6	24988520	24988292	alias rsid
rs58952116	13	57944356	57370222	alias rsid
rs59779646	13	57944356	57370222	alias rsid
rs17120026	11	116648917	116778201	alias rsid
rs12800211	11	116648917	116778201	alias rsid
rs59956444	11	61595564	61828092	alias rsid
rs57579703	11	116665079	116794363	alias rsid
rs862377	11	61596633	61829161	alias rsid
rs681002	11	61596633	61829161	alias rsid
